야	ᄋ ᅣ
치레가	ᄎ ᅵ ᄅ ᅦ ᄀ ᅡ
본전	ᄇ ᅩ ᆫ ᄌ ᅥ ᆫ
닫겠더라	ᄃ ᅡ ᆮ ᄁ ᅦ ᆮ ᄄ ᅥ ᄅ ᅡ
검사비	ᄀ ᅥ ᆷ ᄉ ᅡ ᄇ ᅵ
진료비	ᄌ ᅵ ᆯ ᄅ ᅭ ᄇ ᅵ
돌려받을	ᄃ ᅩ ᆯ ᄅ ᅧ ᄇ ᅡ ᄃ ᅳ ᆯ
부담도	ᄇ ᅮ ᄃ ᅡ ᆷ ᄃ ᅩ
망설이지	ᄆ ᅡ ᆼ ᄉ ᅥ ᄅ ᅵ ᄌ ᅵ
솔깃하네	ᄉ ᅩ ᆯ ᄀ ᅵ ᄐ ᅡ ᄂ ᅦ
쌩돈	ᄊ ᅢ ᆼ ᄃ ᅩ ᆫ
않았으니	ᄋ ᅡ ᄂ ᅡ ᄊ ᅳ ᄂ ᅵ
나중을	ᄂ ᅡ ᄌ ᅮ ᆼ ᄋ ᅳ ᆯ
달리	ᄃ ᅡ ᆯ ᄅ ᅵ
보험이야	ᄇ ᅩ ᄒ ᅥ ᄆ ᅵ ᄋ ᅣ
들기로	ᄃ ᅳ ᆯ ᄀ ᅵ ᄅ ᅩ
정형외과	ᄌ ᅥ ᆼ ᄒ ᅧ ᆼ ᄋ ᅬ ᄀ ᅪ
금방이더라고	ᄀ ᅳ ᆷ ᄇ ᅡ ᆼ ᄋ ᅵ ᄃ ᅥ ᄅ ᅡ ᄀ ᅩ
들었어야	ᄃ ᅳ ᄅ ᅥ ᄊ ᅥ ᄋ ᅣ
커버	ᄏ ᅥ ᄇ ᅥ
많아져서	ᄆ ᅡ ᄂ ᅡ ᄌ ᅥ ᄉ ᅥ
조건이	ᄌ ᅩ ᄀ ᅥ ᄂ ᅵ
좋아지기	ᄌ ᅩ ᄋ ᅡ ᄌ ᅵ ᄀ ᅵ
붓는다고	ᄇ ᅮ ᆫ ᄂ ᅳ ᆫ ᄃ ᅡ ᄀ ᅩ
환급해주는	ᄒ ᅪ ᆫ ᄀ ᅳ ᄑ ᅢ ᄌ ᅮ ᄂ ᅳ ᆫ
보험도	ᄇ ᅩ ᄒ ᅥ ᆷ ᄃ ᅩ
추천해줄	ᄎ ᅮ ᄎ ᅥ ᆫ ᄒ ᅢ ᄌ ᅮ ᆯ
도와주신	ᄃ ᅩ ᄋ ᅪ ᄌ ᅮ ᄉ ᅵ ᆫ
전이니까	ᄌ ᅥ ᄂ ᅵ ᄂ ᅵ ᄁ ᅡ
하할지를	ᄒ ᅡ ᄒ ᅡ ᆯ ᄌ ᅵ ᄅ ᅳ ᆯ
보험이나	ᄇ ᅩ ᄒ ᅥ ᄆ ᅵ ᄂ ᅡ
들어라	ᄃ ᅳ ᄅ ᅥ ᄅ ᅡ
부업으로	ᄇ ᅮ ᄋ ᅥ ᄇ ᅳ ᄅ ᅩ
보험해	ᄇ ᅩ ᄒ ᅥ ᆷ ᄒ ᅢ
보험을	ᄇ ᅩ ᄒ ᅥ ᄆ ᅳ ᆯ
들으래	ᄃ ᅳ ᄅ ᅳ ᄅ ᅢ
부업이야	ᄇ ᅮ ᄋ ᅥ ᄇ ᅵ ᄋ ᅣ
부업은	ᄇ ᅮ ᄋ ᅥ ᄇ ᅳ ᆫ
꿀꿀한	ᄁ ᅮ ᆯ ᄁ ᅮ ᆯ ᄒ ᅡ ᆫ
부대껴서	ᄇ ᅮ ᄃ ᅢ ᄁ ᅧ ᄉ ᅥ
앞에선	ᄋ ᅡ ᄑ ᅦ ᄉ ᅥ ᆫ
위경련	ᄋ ᅱ ᄀ ᅧ ᆼ ᄂ ᅧ ᆫ
데굴데굴	ᄃ ᅦ ᄀ ᅮ ᆯ ᄃ ᅦ ᄀ ᅮ ᆯ
구르더니	ᄀ ᅮ ᄅ ᅳ ᄃ ᅥ ᄂ ᅵ
선하다	ᄉ ᅥ ᆫ ᄒ ᅡ ᄃ ᅡ
선해	ᄉ ᅥ ᆫ ᄒ ᅢ
일이니까	ᄋ ᅵ ᄅ ᅵ ᄂ ᅵ ᄁ ᅡ
년이든	ᄂ ᅧ ᄂ ᅵ ᄃ ᅳ ᆫ
라면은	ᄅ ᅡ ᄆ ᅧ ᄂ ᅳ ᆫ
먹지마	ᄆ ᅥ ᆨ ᄍ ᅵ ᄆ ᅡ
수제비	ᄉ ᅮ ᄌ ᅦ ᄇ ᅵ
반찬만	ᄇ ᅡ ᆫ ᄎ ᅡ ᆫ ᄆ ᅡ ᆫ
와이프보다	ᄋ ᅪ ᄋ ᅵ ᄑ ᅳ ᄇ ᅩ ᄃ ᅡ
챙겨주기	ᄎ ᅢ ᆼ ᄀ ᅧ ᄌ ᅮ ᄀ ᅵ
특이한	ᄐ ᅳ ᄀ ᅵ ᄒ ᅡ ᆫ
살인마들이	ᄉ ᅡ ᄅ ᅵ ᆫ ᄆ ᅡ ᄃ ᅳ ᄅ ᅵ
방법들도	ᄇ ᅡ ᆼ ᄇ ᅥ ᆸ ᄄ ᅳ ᆯ ᄃ ᅩ
특이해지고	ᄐ ᅳ ᄀ ᅵ ᄒ ᅢ ᄌ ᅵ ᄀ ᅩ
설명하듯이	ᄉ ᅥ ᆯ ᄆ ᅧ ᆼ ᄒ ᅡ ᄃ ᅳ ᄉ ᅵ
방송하면	ᄇ ᅡ ᆼ ᄉ ᅩ ᆼ ᄒ ᅡ ᄆ ᅧ ᆫ
잔인해지고	ᄌ ᅡ ᄂ ᅵ ᆫ ᄒ ᅢ ᄌ ᅵ ᄀ ᅩ
자살하고	ᄌ ᅡ ᄉ ᅡ ᆯ ᄒ ᅡ ᄀ ᅩ
뉴스나	ᄂ ᅲ ᄉ ᅳ ᄂ ᅡ
신문에서	ᄉ ᅵ ᆫ ᄆ ᅮ ᄂ ᅦ ᄉ ᅥ
상세히	ᄉ ᅡ ᆼ ᄉ ᅦ ᄒ ᅵ
알려주잖아	ᄋ ᅡ ᆯ ᄅ ᅧ ᄌ ᅮ ᄌ ᅡ ᄂ ᅡ
이용했고	ᄋ ᅵ ᄋ ᅭ ᆼ ᄒ ᅢ ᆮ ᄁ ᅩ
갔었고	ᄀ ᅡ ᄊ ᅥ ᆮ ᄁ ᅩ
자극적이어지니까	ᄌ ᅡ ᄀ ᅳ ᆨ ᄍ ᅥ ᄀ ᅵ ᄋ ᅥ ᄌ ᅵ ᄂ ᅵ ᄁ ᅡ
하루를	ᄒ ᅡ ᄅ ᅮ ᄅ ᅳ ᆯ
정리했는데	ᄌ ᅥ ᆼ ᄂ ᅵ ᄒ ᅢ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
보기도	ᄇ ᅩ ᄀ ᅵ ᄃ ᅩ
든다니까	ᄃ ᅳ ᆫ ᄄ ᅡ ᄂ ᅵ ᄁ ᅡ
단호하고	ᄃ ᅡ ᆫ ᄒ ᅩ ᄒ ᅡ ᄀ ᅩ
엄격하고	ᄋ ᅥ ᆷ ᄀ ᅧ ᄏ ᅡ ᄀ ᅩ
범죄자들을	ᄇ ᅥ ᆷ ᄌ ᅬ ᄌ ᅡ ᄃ ᅳ ᄅ ᅳ ᆯ
다스려야	ᄃ ᅡ ᄉ ᅳ ᄅ ᅧ ᄋ ᅣ
마셨다고	ᄆ ᅡ ᄉ ᅧ ᆮ ᄄ ᅡ ᄀ ᅩ
면죄부가	ᄆ ᅧ ᆫ ᄌ ᅬ ᄇ ᅮ ᄀ ᅡ
피해자의	ᄑ ᅵ ᄒ ᅢ ᄌ ᅡ ᄋ ᅴ
고통은	ᄀ ᅩ ᄐ ᅩ ᆼ ᄋ ᅳ ᆫ
나라가	ᄂ ᅡ ᄅ ᅡ ᄀ ᅡ
바뀔까	ᄇ ᅡ ᄁ ᅱ ᆯ ᄁ ᅡ
모습들도	ᄆ ᅩ ᄉ ᅳ ᆸ ᄄ ᅳ ᆯ ᄃ ᅩ
세상이야	ᄉ ᅦ ᄉ ᅡ ᆼ ᄋ ᅵ ᄋ ᅣ
심해지겠지	ᄉ ᅵ ᆷ ᄒ ᅢ ᄌ ᅵ ᄀ ᅦ ᆮ ᄍ ᅵ
사단	ᄉ ᅡ ᄃ ᅡ ᆫ
바퀴도	ᄇ ᅡ ᄏ ᅱ ᄃ ᅩ
달리고	ᄃ ᅡ ᆯ ᄅ ᅵ ᄀ ᅩ
공방	ᄀ ᅩ ᆼ ᄇ ᅡ ᆼ
차렸다고	ᄎ ᅡ ᄅ ᅧ ᆮ ᄄ ᅡ ᄀ ᅩ
팔아달라고	ᄑ ᅡ ᄅ ᅡ ᄃ ᅡ ᆯ ᄅ ᅡ ᄀ ᅩ
공방을	ᄀ ᅩ ᆼ ᄇ ᅡ ᆼ ᄋ ᅳ ᆯ
열더라	ᄋ ᅧ ᆯ ᄃ ᅥ ᄅ ᅡ
최고네	ᄎ ᅬ ᄀ ᅩ ᄂ ᅦ
배달비까지	ᄇ ᅢ ᄃ ᅡ ᆯ ᄇ ᅵ ᄁ ᅡ ᄌ ᅵ
깎아주려고	ᄁ ᅡ ᄁ ᅡ ᄌ ᅮ ᄅ ᅧ ᄀ ᅩ
배달비도	ᄇ ᅢ ᄃ ᅡ ᆯ ᄇ ᅵ ᄃ ᅩ
받겠다는	ᄇ ᅡ ᆮ ᄁ ᅦ ᆮ ᄄ ᅡ ᄂ ᅳ ᆫ
쥐어줘서	ᄌ ᅱ ᄋ ᅥ ᄌ ᅯ ᄉ ᅥ
기특하잖아	ᄀ ᅵ ᄐ ᅳ ᄏ ᅡ ᄌ ᅡ ᄂ ᅡ
팔아줘야지	ᄑ ᅡ ᄅ ᅡ ᄌ ᅯ ᄋ ᅣ ᄌ ᅵ
서랍장을	ᄉ ᅥ ᄅ ᅡ ᆸ ᄍ ᅡ ᆼ ᄋ ᅳ ᆯ
튼튼하고	ᄐ ᅳ ᆫ ᄐ ᅳ ᆫ ᄒ ᅡ ᄀ ᅩ
디자인도	ᄃ ᅵ ᄌ ᅡ ᄋ ᅵ ᆫ ᄃ ᅩ
독특하고	ᄃ ᅩ ᆨ ᄐ ᅳ ᄏ ᅡ ᄀ ᅩ
기억에	ᄀ ᅵ ᄋ ᅥ ᄀ ᅦ
물어봐줄까	ᄆ ᅮ ᄅ ᅥ ᄇ ᅪ ᄌ ᅮ ᆯ ᄁ ᅡ
미정이한테	ᄆ ᅵ ᄌ ᅥ ᆼ ᄋ ᅵ ᄒ ᅡ ᆫ ᄐ ᅦ
금방이야	ᄀ ᅳ ᆷ ᄇ ᅡ ᆼ ᄋ ᅵ ᄋ ᅣ
물어봤던	ᄆ ᅮ ᄅ ᅥ ᄇ ᅪ ᆮ ᄄ ᅥ ᆫ
뒀다네	ᄃ ᅯ ᆮ ᄄ ᅡ ᄂ ᅦ
공방이	ᄀ ᅩ ᆼ ᄇ ᅡ ᆼ ᄋ ᅵ
가구가	ᄀ ᅡ ᄀ ᅮ ᄀ ᅡ
팔렸나	ᄑ ᅡ ᆯ ᄅ ᅧ ᆫ ᄂ ᅡ
쫓겨	ᄍ ᅩ ᆮ ᄁ ᅧ
억울하겠다	ᄋ ᅥ ᄀ ᅮ ᆯ ᄒ ᅡ ᄀ ᅦ ᆮ ᄄ ᅡ
억울한데	ᄋ ᅥ ᄀ ᅮ ᆯ ᄒ ᅡ ᆫ ᄃ ᅦ
당사자는	ᄃ ᅡ ᆼ ᄉ ᅡ ᄌ ᅡ ᄂ ᅳ ᆫ
속상할까	ᄉ ᅩ ᆨ ᄊ ᅡ ᆼ ᄒ ᅡ ᆯ ᄁ ᅡ
겪었다고	ᄀ ᅧ ᄁ ᅥ ᆮ ᄄ ᅡ ᄀ ᅩ
차려준	ᄎ ᅡ ᄅ ᅧ ᄌ ᅮ ᆫ
뺏어서	ᄈ ᅢ ᄉ ᅥ ᄉ ᅥ
준거네	ᄌ ᅮ ᆫ ᄀ ᅥ ᄂ ᅦ
배우겠어	ᄇ ᅢ ᄋ ᅮ ᄀ ᅦ ᄊ ᅥ
뺏겼다는	ᄈ ᅢ ᆮ ᄁ ᅧ ᆮ ᄄ ᅡ ᄂ ᅳ ᆫ
뺏기고	ᄈ ᅢ ᆮ ᄁ ᅵ ᄀ ᅩ
속상해서	ᄉ ᅩ ᆨ ᄊ ᅡ ᆼ ᄒ ᅢ ᄉ ᅥ
날벼락을	ᄂ ᅡ ᆯ ᄇ ᅧ ᄅ ᅡ ᄀ ᅳ ᆯ
맞았으니	ᄆ ᅡ ᄌ ᅡ ᄊ ᅳ ᄂ ᅵ
사업은	ᄉ ᅡ ᄋ ᅥ ᄇ ᅳ ᆫ
가구도	ᄀ ᅡ ᄀ ᅮ ᄃ ᅩ
새에	ᄉ ᅢ ᄋ ᅦ
키웠으면	ᄏ ᅵ ᄋ ᅯ ᄊ ᅳ ᄆ ᅧ ᆫ
미정이도	ᄆ ᅵ ᄌ ᅥ ᆼ ᄋ ᅵ ᄃ ᅩ
투자를	ᄐ ᅮ ᄌ ᅡ ᄅ ᅳ ᆯ
사업하는	ᄉ ᅡ ᄋ ᅥ ᄑ ᅡ ᄂ ᅳ ᆫ
사업인가	ᄉ ᅡ ᄋ ᅥ ᄇ ᅵ ᆫ ᄀ ᅡ
제일이야	ᄌ ᅦ ᄋ ᅵ ᄅ ᅵ ᄋ ᅣ
금지야	ᄀ ᅳ ᆷ ᄌ ᅵ ᄋ ᅣ
내네	ᄂ ᅢ ᄂ ᅦ
고등학생이고	ᄀ ᅩ ᄃ ᅳ ᆼ ᄒ ᅡ ᆨ ᄊ ᅢ ᆼ ᄋ ᅵ ᄀ ᅩ
중학생일	ᄌ ᅮ ᆼ ᄒ ᅡ ᆨ ᄊ ᅢ ᆼ ᄋ ᅵ ᆯ
매실주	ᄆ ᅢ ᄉ ᅵ ᆯ ᄌ ᅮ
담궈	ᄃ ᅡ ᆷ ᄀ ᅯ
나는구나	ᄂ ᅡ ᄂ ᅳ ᆫ ᄀ ᅮ ᄂ ᅡ
살아봐도	ᄉ ᅡ ᄅ ᅡ ᄇ ᅪ ᄃ ᅩ
독주였다네	ᄃ ᅩ ᆨ ᄍ ᅮ ᄋ ᅧ ᆮ ᄄ ᅡ ᄂ ᅦ
설사하고	ᄉ ᅥ ᆯ ᄉ ᅡ ᄒ ᅡ ᄀ ᅩ
걱정하셨는데	ᄀ ᅥ ᆨ ᄍ ᅥ ᆼ ᄒ ᅡ ᄉ ᅧ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
아셨을까	ᄋ ᅡ ᄉ ᅧ ᄊ ᅳ ᆯ ᄁ ᅡ
알았을	ᄋ ᅡ ᄅ ᅡ ᄊ ᅳ ᆯ
들키면	ᄃ ᅳ ᆯ ᄏ ᅵ ᄆ ᅧ ᆫ
혼나니까	ᄒ ᅩ ᆫ ᄂ ᅡ ᄂ ᅵ ᄁ ᅡ
해줬던	ᄒ ᅢ ᄌ ᅯ ᆮ ᄄ ᅥ ᆫ
흘렀을까	ᄒ ᅳ ᆯ ᄅ ᅥ ᄊ ᅳ ᆯ ᄁ ᅡ
더워라	ᄃ ᅥ ᄋ ᅯ ᄅ ᅡ
틀어줘	ᄐ ᅳ ᄅ ᅥ ᄌ ᅯ
찜통이다	ᄍ ᅵ ᆷ ᄐ ᅩ ᆼ ᄋ ᅵ ᄃ ᅡ
보라는데	ᄇ ᅩ ᄅ ᅡ ᄂ ᅳ ᆫ ᄃ ᅦ
부르려고	ᄇ ᅮ ᄅ ᅳ ᄅ ᅧ ᄀ ᅩ
기다리래	ᄀ ᅵ ᄃ ᅡ ᄅ ᅵ ᄅ ᅢ
땀띠	ᄄ ᅡ ᆷ ᄄ ᅵ
나겠어	ᄂ ᅡ ᄀ ᅦ ᄊ ᅥ
물건이구나	ᄆ ᅮ ᆯ ᄀ ᅥ ᄂ ᅵ ᄀ ᅮ ᄂ ᅡ
물건이지	ᄆ ᅮ ᆯ ᄀ ᅥ ᄂ ᅵ ᄌ ᅵ
전이면	ᄌ ᅥ ᄂ ᅵ ᄆ ᅧ ᆫ
삼백만	ᄉ ᅡ ᆷ ᄇ ᅢ ᆼ ᄆ ᅡ ᆫ
원이라	ᄋ ᅯ ᄂ ᅵ ᄅ ᅡ
부품비가	ᄇ ᅮ ᄑ ᅮ ᆷ ᄇ ᅵ ᄀ ᅡ
바꿔버릴려고	ᄇ ᅡ ᄁ ᅯ ᄇ ᅥ ᄅ ᅵ ᆯ ᄅ ᅧ ᄀ ᅩ
비싸더라고	ᄇ ᅵ ᄊ ᅡ ᄃ ᅥ ᄅ ᅡ ᄀ ᅩ
벽걸이는	ᄇ ᅧ ᆨ ᄁ ᅥ ᄅ ᅵ ᄂ ᅳ ᆫ
저렴하니까	ᄌ ᅥ ᄅ ᅧ ᆷ ᄒ ᅡ ᄂ ᅵ ᄁ ᅡ
벽걸이	ᄇ ᅧ ᆨ ᄁ ᅥ ᄅ ᅵ
달아보는	ᄃ ᅡ ᄅ ᅡ ᄇ ᅩ ᄂ ᅳ ᆫ
에너지	ᄋ ᅦ ᄂ ᅥ ᄌ ᅵ
효율도	ᄒ ᅭ ᄋ ᅲ ᆯ ᄃ ᅩ
누님	ᄂ ᅮ ᄂ ᅵ ᆷ
신수가	ᄉ ᅵ ᆫ ᄉ ᅮ ᄀ ᅡ
훤해	ᄒ ᅯ ᆫ ᄒ ᅢ
근심이	ᄀ ᅳ ᆫ ᄉ ᅵ ᄆ ᅵ
머리랑	ᄆ ᅥ ᄅ ᅵ ᄅ ᅡ ᆼ
사람들같이	ᄉ ᅡ ᄅ ᅡ ᆷ ᄃ ᅳ ᆯ ᄀ ᅡ ᄎ ᅵ
애인	ᄋ ᅢ ᄋ ᅵ ᆫ
애인이니	ᄋ ᅢ ᄋ ᅵ ᄂ ᅵ ᄂ ᅵ
형부로	ᄒ ᅧ ᆼ ᄇ ᅮ ᄅ ᅩ
고생시켰니	ᄀ ᅩ ᄉ ᅢ ᆼ ᄉ ᅵ ᄏ ᅧ ᆫ ᄂ ᅵ
애들이야	ᄋ ᅢ ᄃ ᅳ ᄅ ᅵ ᄋ ᅣ
춤이라도	ᄎ ᅮ ᄆ ᅵ ᄅ ᅡ ᄃ ᅩ
잡지에도	ᄌ ᅡ ᆸ ᄍ ᅵ ᄋ ᅦ ᄃ ᅩ
패션쇼에도	ᄑ ᅢ ᄉ ᅧ ᆫ ᄉ ᅭ ᄋ ᅦ ᄃ ᅩ
시니어	ᄉ ᅵ ᄂ ᅵ ᄋ ᅥ
모델로	ᄆ ᅩ ᄃ ᅦ ᆯ ᄅ ᅩ
테레비에서	ᄐ ᅦ ᄅ ᅦ ᄇ ᅵ ᄋ ᅦ ᄉ ᅥ
누님이	ᄂ ᅮ ᄂ ᅵ ᄆ ᅵ
뒷바라지하느라	ᄃ ᅱ ᆮ ᄈ ᅡ ᄅ ᅡ ᄌ ᅵ ᄒ ᅡ ᄂ ᅳ ᄅ ᅡ
맞더라	ᄆ ᅡ ᆮ ᄄ ᅥ ᄅ ᅡ
에이전시랑	ᄋ ᅦ ᄋ ᅵ ᄌ ᅥ ᆫ ᄉ ᅵ ᄅ ᅡ ᆼ
계약도	ᄀ ᅨ ᄋ ᅣ ᆨ ᄄ ᅩ
겠는데	ᄀ ᅦ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
펜만	ᄑ ᅦ ᆫ ᄆ ᅡ ᆫ
냈대	ᄂ ᅢ ᆮ ᄄ ᅢ
바가지	ᄇ ᅡ ᄀ ᅡ ᄌ ᅵ
쓴다던데	ᄊ ᅳ ᆫ ᄃ ᅡ ᄃ ᅥ ᆫ ᄃ ᅦ
단통법	ᄃ ᅡ ᆫ ᄐ ᅩ ᆼ ᄇ ᅥ ᆸ
시행	ᄉ ᅵ ᄒ ᅢ ᆼ
들쑥	ᄃ ᅳ ᆯ ᄊ ᅮ ᆨ
날쑥이라	ᄂ ᅡ ᆯ ᄊ ᅮ ᄀ ᅵ ᄅ ᅡ
단통법도	ᄃ ᅡ ᆫ ᄐ ᅩ ᆼ ᄇ ᅥ ᆸ ᄄ ᅩ
보나보다	ᄇ ᅩ ᄂ ᅡ ᄇ ᅩ ᄃ ᅡ
뭐하겠니	ᄆ ᅯ ᄒ ᅡ ᄀ ᅦ ᆫ ᄂ ᅵ
이야기에	ᄋ ᅵ ᄋ ᅣ ᄀ ᅵ ᄋ ᅦ
예민하면	ᄋ ᅨ ᄆ ᅵ ᆫ ᄒ ᅡ ᄆ ᅧ ᆫ
바꾸기가	ᄇ ᅡ ᄁ ᅮ ᄀ ᅵ ᄀ ᅡ
씌울라고	ᄊ ᅵ ᄋ ᅮ ᆯ ᄅ ᅡ ᄀ ᅩ
팔린다고	ᄑ ᅡ ᆯ ᄅ ᅵ ᆫ ᄃ ᅡ ᄀ ᅩ
할부	ᄒ ᅡ ᆯ ᄇ ᅮ
원금도	ᄋ ᅯ ᆫ ᄀ ᅳ ᆷ ᄃ ᅩ
은하	ᄋ ᅳ ᆫ ᄒ ᅡ
십이	ᄉ ᅵ ᄇ ᅵ
대박이지	ᄃ ᅢ ᄇ ᅡ ᄀ ᅵ ᄌ ᅵ
원금이	ᄋ ᅯ ᆫ ᄀ ᅳ ᄆ ᅵ
싸다	ᄊ ᅡ ᄃ ᅡ
요금제를	ᄋ ᅭ ᄀ ᅳ ᆷ ᄌ ᅦ ᄅ ᅳ ᆯ
공시	ᄀ ᅩ ᆼ ᄉ ᅵ
의무로	ᄋ ᅴ ᄆ ᅮ ᄅ ᅩ
된다더라	ᄃ ᅬ ᆫ ᄃ ᅡ ᄃ ᅥ ᄅ ᅡ
애들보다	ᄋ ᅢ ᄃ ᅳ ᆯ ᄇ ᅩ ᄃ ᅡ
소린지	ᄉ ᅩ ᄅ ᅵ ᆫ ᄌ ᅵ
인터넷을	ᄋ ᅵ ᆫ ᄐ ᅥ ᄂ ᅦ ᄉ ᅳ ᆯ
조건도	ᄌ ᅩ ᄀ ᅥ ᆫ ᄃ ᅩ
어디래	ᄋ ᅥ ᄃ ᅵ ᄅ ᅢ
바꾸자	ᄇ ᅡ ᄁ ᅮ ᄌ ᅡ
축	ᄎ ᅮ ᆨ
살맛이	ᄉ ᅡ ᆯ ᄆ ᅡ ᄉ ᅵ
명퇴할	ᄆ ᅧ ᆼ ᄐ ᅬ ᄒ ᅡ ᆯ
누님은	ᄂ ᅮ ᄂ ᅵ ᄆ ᅳ ᆫ
시대니까	ᄉ ᅵ ᄃ ᅢ ᄂ ᅵ ᄁ ᅡ
지사로	ᄌ ᅵ ᄉ ᅡ ᄅ ᅩ
인도	ᄋ ᅵ ᆫ ᄃ ᅩ
인도야	ᄋ ᅵ ᆫ ᄃ ᅩ ᄋ ᅣ
너같이	ᄂ ᅥ ᄀ ᅡ ᄎ ᅵ
지사가	ᄌ ᅵ ᄉ ᅡ ᄀ ᅡ
기초를	ᄀ ᅵ ᄎ ᅩ ᄅ ᅳ ᆯ
닦아놓으라는데	ᄃ ᅡ ᄁ ᅡ ᄂ ᅩ ᄋ ᅳ ᄅ ᅡ ᄂ ᅳ ᆫ ᄃ ᅦ
못하겠으면	ᄆ ᅩ ᄐ ᅡ ᄀ ᅦ ᄊ ᅳ ᄆ ᅧ ᆫ
심난하겠다	ᄉ ᅵ ᆷ ᄂ ᅡ ᆫ ᄒ ᅡ ᄀ ᅦ ᆮ ᄄ ᅡ
부인은	ᄇ ᅮ ᄋ ᅵ ᄂ ᅳ ᆫ
고등학생인데	ᄀ ᅩ ᄃ ᅳ ᆼ ᄒ ᅡ ᆨ ᄊ ᅢ ᆼ ᄋ ᅵ ᆫ ᄃ ᅦ
생이별이지	ᄉ ᅢ ᆼ ᄋ ᅵ ᄇ ᅧ ᄅ ᅵ ᄌ ᅵ
그만둘	ᄀ ᅳ ᄆ ᅡ ᆫ ᄃ ᅮ ᆯ
진퇴양난이구만	ᄌ ᅵ ᆫ ᄐ ᅬ ᄋ ᅣ ᆼ ᄂ ᅡ ᄂ ᅵ ᄀ ᅮ ᄆ ᅡ ᆫ
부글부글	ᄇ ᅮ ᄀ ᅳ ᆯ ᄇ ᅮ ᄀ ᅳ ᆯ
거리지	ᄀ ᅥ ᄅ ᅵ ᄌ ᅵ
도시락을	ᄃ ᅩ ᄉ ᅵ ᄅ ᅡ ᄀ ᅳ ᆯ
뺀다더니	ᄈ ᅢ ᆫ ᄃ ᅡ ᄃ ᅥ ᄂ ᅵ
거짓말이구나	ᄀ ᅥ ᄌ ᅵ ᆫ ᄆ ᅡ ᄅ ᅵ ᄀ ᅮ ᄂ ᅡ
기절해	ᄀ ᅵ ᄌ ᅥ ᆯ ᄒ ᅢ
빼야지	ᄈ ᅢ ᄋ ᅣ ᄌ ᅵ
아랫배가	ᄋ ᅡ ᄅ ᅢ ᆮ ᄈ ᅢ ᄀ ᅡ
싸르르르	ᄊ ᅡ ᄅ ᅳ ᄅ ᅳ ᄅ ᅳ
신호가	ᄉ ᅵ ᆫ ᄒ ᅩ ᄀ ᅡ
싸르르	ᄊ ᅡ ᄅ ᅳ ᄅ ᅳ
신호지	ᄉ ᅵ ᆫ ᄒ ᅩ ᄌ ᅵ
신호를	ᄉ ᅵ ᆫ ᄒ ᅩ ᄅ ᅳ ᆯ
도시락이	ᄃ ᅩ ᄉ ᅵ ᄅ ᅡ ᄀ ᅵ
상했었나	ᄉ ᅡ ᆼ ᄒ ᅢ ᄊ ᅥ ᆫ ᄂ ᅡ
명치가	ᄆ ᅧ ᆼ ᄎ ᅵ ᄀ ᅡ
느낌일	ᄂ ᅳ ᄁ ᅵ ᄆ ᅵ ᆯ
형제자매들	ᄒ ᅧ ᆼ ᄌ ᅦ ᄌ ᅡ ᄆ ᅢ ᄃ ᅳ ᆯ
나라는	ᄂ ᅡ ᄅ ᅡ ᄂ ᅳ ᆫ
패키지가	ᄑ ᅢ ᄏ ᅵ ᄌ ᅵ ᄀ ᅡ
싸잖아	ᄊ ᅡ ᄌ ᅡ ᄂ ᅡ
거기만큼	ᄀ ᅥ ᄀ ᅵ ᄆ ᅡ ᆫ ᄏ ᅳ ᆷ
여행사도	ᄋ ᅧ ᄒ ᅢ ᆼ ᄉ ᅡ ᄃ ᅩ
패키지라고	ᄑ ᅢ ᄏ ᅵ ᄌ ᅵ ᄅ ᅡ ᄀ ᅩ
단체들만	ᄃ ᅡ ᆫ ᄎ ᅦ ᄃ ᅳ ᆯ ᄆ ᅡ ᆫ
식당만	ᄉ ᅵ ᆨ ᄄ ᅡ ᆼ ᄆ ᅡ ᆫ
데려가고	ᄃ ᅦ ᄅ ᅧ ᄀ ᅡ ᄀ ᅩ
사라고	ᄉ ᅡ ᄅ ᅡ ᄀ ᅩ
압박하고	ᄋ ᅡ ᆸ ᄈ ᅡ ᄏ ᅡ ᄀ ᅩ
이런데	ᄋ ᅵ ᄅ ᅥ ᆫ ᄃ ᅦ
신혼여행하는	ᄉ ᅵ ᆫ ᄒ ᅩ ᄂ ᅧ ᄒ ᅢ ᆼ ᄒ ᅡ ᄂ ᅳ ᆫ
우리라고	ᄋ ᅮ ᄅ ᅵ ᄅ ᅡ ᄀ ᅩ
바다만	ᄇ ᅡ ᄃ ᅡ ᄆ ᅡ ᆫ
휴가지	ᄒ ᅲ ᄀ ᅡ ᄌ ᅵ
풀빌라	ᄑ ᅮ ᆯ ᄇ ᅵ ᆯ ᄅ ᅡ
쉬다	ᄉ ᅱ ᄃ ᅡ
빌라	ᄇ ᅵ ᆯ ᄅ ᅡ
비싸도	ᄇ ᅵ ᄊ ᅡ ᄃ ᅩ
해결된	ᄒ ᅢ ᄀ ᅧ ᆯ ᄃ ᅬ ᆫ
