씨	ᄊ ᅵ
법을	ᄇ ᅥ ᄇ ᅳ ᆯ
도입해서	ᄃ ᅩ ᄋ ᅵ ᄑ ᅢ ᄉ ᅥ
일입니다	ᄋ ᅵ ᄅ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
기반으로	ᄀ ᅵ ᄇ ᅡ ᄂ ᅳ ᄅ ᅩ
축제	ᄎ ᅮ ᆨ ᄍ ᅦ
축제장에	ᄎ ᅮ ᆨ ᄍ ᅦ ᄌ ᅡ ᆼ ᄋ ᅦ
머문	ᄆ ᅥ ᄆ ᅮ ᆫ
계한	ᄀ ᅨ ᄒ ᅡ ᆫ
해수욕장의	ᄒ ᅢ ᄉ ᅮ ᄋ ᅭ ᆨ ᄍ ᅡ ᆼ ᄋ ᅴ
지점에서	ᄌ ᅵ ᄌ ᅥ ᄆ ᅦ ᄉ ᅥ
하나하나	ᄒ ᅡ ᄂ ᅡ ᄒ ᅡ ᄂ ᅡ
세고	ᄉ ᅦ ᄀ ᅩ
면적의	ᄆ ᅧ ᆫ ᄌ ᅥ ᄀ ᅴ
추산하는	ᄎ ᅮ ᄉ ᅡ ᆫ ᄒ ᅡ ᄂ ᅳ ᆫ
페르미	ᄑ ᅦ ᄅ ᅳ ᄆ ᅵ
측정법	ᄎ ᅳ ᆨ ᄍ ᅥ ᆼ ᄇ ᅥ ᆸ
도가	ᄃ ᅩ ᄀ ᅡ
방문객의	ᄇ ᅡ ᆼ ᄆ ᅮ ᆫ ᄀ ᅢ ᄀ ᅴ
성별과	ᄉ ᅥ ᆼ ᄇ ᅧ ᆯ ᄀ ᅪ
연령도	ᄋ ᅧ ᆯ ᄅ ᅧ ᆼ ᄃ ᅩ
파악할	ᄑ ᅡ ᄋ ᅡ ᄏ ᅡ ᆯ
제의	ᄌ ᅦ ᄋ ᅴ
방향성을	ᄇ ᅡ ᆼ ᄒ ᅣ ᆼ ᄉ ᅥ ᆼ ᄋ ᅳ ᆯ
계획하거나	ᄀ ᅨ ᄒ ᅬ ᄏ ᅡ ᄀ ᅥ ᄂ ᅡ
마케	ᄆ ᅡ ᄏ ᅦ
구상할	ᄀ ᅮ ᄉ ᅡ ᆼ ᄒ ᅡ ᆯ
유용하리라는	ᄋ ᅲ ᄋ ᅭ ᆼ ᄒ ᅡ ᄅ ᅵ ᄅ ᅡ ᄂ ᅳ ᆫ
기대가	ᄀ ᅵ ᄃ ᅢ ᄀ ᅡ
많아요	ᄆ ᅡ ᄂ ᅡ ᄋ ᅭ
신기술은	ᄉ ᅵ ᆫ ᄀ ᅵ ᄉ ᅮ ᄅ ᅳ ᆫ
어느새	ᄋ ᅥ ᄂ ᅳ ᄉ ᅢ
일상	ᄋ ᅵ ᆯ ᄉ ᅡ ᆼ
스며들고	ᄉ ᅳ ᄆ ᅧ ᄃ ᅳ ᆯ ᄀ ᅩ
있네요	ᄋ ᅵ ᆫ ᄂ ᅦ ᄋ ᅭ
우주	ᄋ ᅮ ᄌ ᅮ
상업용	ᄉ ᅡ ᆼ ᄋ ᅥ ᄇ ᅭ ᆼ
인공위성	ᄋ ᅵ ᆫ ᄀ ᅩ ᆼ ᄋ ᅱ ᄉ ᅥ ᆼ
발사	ᄇ ᅡ ᆯ ᄉ ᅡ
성공으로	ᄉ ᅥ ᆼ ᄀ ᅩ ᆼ ᄋ ᅳ ᄅ ᅩ
유명한	ᄋ ᅲ ᄆ ᅧ ᆼ ᄒ ᅡ ᆫ
스페이스	ᄉ ᅳ ᄑ ᅦ ᄋ ᅵ ᄉ ᅳ
엑스가	ᄋ ᅦ ᆨ ᄊ ᅳ ᄀ ᅡ
궤도	ᄀ ᅰ ᄃ ᅩ
위성	ᄋ ᅱ ᄉ ᅥ ᆼ
초고속	ᄎ ᅩ ᄀ ᅩ ᄉ ᅩ ᆨ
구축의	ᄀ ᅮ ᄎ ᅮ ᄀ ᅴ
실험에	ᄉ ᅵ ᆯ ᄒ ᅥ ᄆ ᅦ
들어갑니다	ᄃ ᅳ ᄅ ᅥ ᄀ ᅡ ᆷ ᄂ ᅵ ᄃ ᅡ
열겠	ᄋ ᅧ ᆯ ᄀ ᅦ ᆮ
엑스의	ᄋ ᅦ ᆨ ᄊ ᅳ ᄋ ᅴ
일론	ᄋ ᅵ ᆯ ᄅ ᅩ ᆫ
머스	ᄆ ᅥ ᄉ ᅳ
크	ᄏ ᅳ
씨이오	ᄊ ᅵ ᄋ ᅵ ᄋ ᅩ
씨이오의	ᄊ ᅵ ᄋ ᅵ ᄋ ᅩ ᄋ ᅴ
부주의한	ᄇ ᅮ ᄌ ᅮ ᄋ ᅴ ᄒ ᅡ ᆫ
행동으로	ᄒ ᅢ ᆼ ᄃ ᅩ ᆼ ᄋ ᅳ ᄅ ᅩ
리스크의	ᄅ ᅵ ᄉ ᅳ ᄏ ᅳ ᄋ ᅴ
사례로	ᄉ ᅡ ᄅ ᅨ ᄅ ᅩ
손꼽히지만	ᄉ ᅩ ᆫ ᄁ ᅩ ᄑ ᅵ ᄌ ᅵ ᄆ ᅡ ᆫ
혁신을	ᄒ ᅧ ᆨ ᄊ ᅵ ᄂ ᅳ ᆯ
주도하는	ᄌ ᅮ ᄃ ᅩ ᄒ ᅡ ᄂ ᅳ ᆫ
인물입니다	ᄋ ᅵ ᆫ ᄆ ᅮ ᄅ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
신기한	ᄉ ᅵ ᆫ ᄀ ᅵ ᄒ ᅡ ᆫ
사진을	ᄉ ᅡ ᄌ ᅵ ᄂ ᅳ ᆯ
올렸어요	ᄋ ᅩ ᆯ ᄅ ᅧ ᄊ ᅥ ᄋ ᅭ
팔컨	ᄑ ᅡ ᆯ ᄏ ᅥ ᆫ
로	ᄅ ᅩ
켓을	ᄏ ᅦ ᄉ ᅳ ᆯ
발사할	ᄇ ᅡ ᆯ ᄉ ᅡ ᄒ ᅡ ᆯ
구축용	ᄀ ᅮ ᄎ ᅮ ᄀ ᅭ ᆼ
통신위성의	ᄐ ᅩ ᆼ ᄉ ᅵ ᄂ ᅱ ᄉ ᅥ ᆼ ᄋ ᅴ
준비	ᄌ ᅮ ᆫ ᄇ ᅵ
모습입니다	ᄆ ᅩ ᄉ ᅳ ᄇ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
아마존이	ᄋ ᅡ ᄆ ᅡ ᄌ ᅩ ᄂ ᅵ
꿈꾸는	ᄁ ᅮ ᆷ ᄁ ᅮ ᄂ ᅳ ᆫ
인터넷망에	ᄋ ᅵ ᆫ ᄐ ᅥ ᄂ ᅦ ᆫ ᄆ ᅡ ᆼ ᄋ ᅦ
설명한	ᄉ ᅥ ᆯ ᄆ ᅧ ᆼ ᄒ ᅡ ᆫ
전인데	ᄌ ᅥ ᄂ ᅵ ᆫ ᄃ ᅦ
현실에서	ᄒ ᅧ ᆫ ᄉ ᅵ ᄅ ᅦ ᄉ ᅥ
실험을	ᄉ ᅵ ᆯ ᄒ ᅥ ᄆ ᅳ ᆯ
실험이다	ᄉ ᅵ ᆯ ᄒ ᅥ ᄆ ᅵ ᄃ ᅡ
대부분에	ᄃ ᅢ ᄇ ᅮ ᄇ ᅮ ᄂ ᅦ
예상되지만	ᄋ ᅨ ᄉ ᅡ ᆼ ᄃ ᅬ ᄌ ᅵ ᄆ ᅡ ᆫ
경험이	ᄀ ᅧ ᆼ ᄒ ᅥ ᄆ ᅵ
진일보의	ᄌ ᅵ ᄂ ᅵ ᆯ ᄇ ᅩ ᄋ ᅴ
디딤	ᄃ ᅵ ᄃ ᅵ ᆷ
돌이	ᄃ ᅩ ᄅ ᅵ
시대는	ᄉ ᅵ ᄃ ᅢ ᄂ ᅳ ᆫ
단계로	ᄃ ᅡ ᆫ ᄀ ᅨ ᄅ ᅩ
나아가고	ᄂ ᅡ ᄋ ᅡ ᄀ ᅡ ᄀ ᅩ
긴	ᄀ ᅵ ᆫ
변의	ᄇ ᅧ ᄂ ᅴ
시대라는	ᄉ ᅵ ᄃ ᅢ ᄅ ᅡ ᄂ ᅳ ᆫ
두근거리네요	ᄃ ᅮ ᄀ ᅳ ᆫ ᄀ ᅥ ᄅ ᅵ ᄂ ᅦ ᄋ ᅭ
유튜브에	ᄋ ᅲ ᄐ ᅲ ᄇ ᅳ ᄋ ᅦ
해보세요	ᄒ ᅢ ᄇ ᅩ ᄉ ᅦ ᄋ ᅭ
유튜버가	ᄋ ᅲ ᄐ ᅲ ᄇ ᅥ ᄀ ᅡ
아이부터	ᄋ ᅡ ᄋ ᅵ ᄇ ᅮ ᄐ ᅥ
어른까지	ᄋ ᅥ ᄅ ᅳ ᆫ ᄁ ᅡ ᄌ ᅵ
유명	ᄋ ᅲ ᄆ ᅧ ᆼ
유튜버는	ᄋ ᅲ ᄐ ᅲ ᄇ ᅥ ᄂ ᅳ ᆫ
드물지만	ᄃ ᅳ ᄆ ᅮ ᆯ ᄌ ᅵ ᄆ ᅡ ᆫ
수억	ᄉ ᅮ ᄋ ᅥ ᆨ
원의	ᄋ ᅯ ᄂ ᅴ
올린다고	ᄋ ᅩ ᆯ ᄅ ᅵ ᆫ ᄃ ᅡ ᄀ ᅩ
알려지면서	ᄋ ᅡ ᆯ ᄅ ᅧ ᄌ ᅵ ᄆ ᅧ ᆫ ᄉ ᅥ
선망의	ᄉ ᅥ ᆫ ᄆ ᅡ ᆼ ᄋ ᅴ
대상이	ᄃ ᅢ ᄉ ᅡ ᆼ ᄋ ᅵ
살려서	ᄉ ᅡ ᆯ ᄅ ᅧ ᄉ ᅥ
팔기도	ᄑ ᅡ ᆯ ᄀ ᅵ ᄃ ᅩ
단계	ᄃ ᅡ ᆫ ᄀ ᅨ
초등학생의	ᄎ ᅩ ᄃ ᅳ ᆼ ᄒ ᅡ ᆨ ᄊ ᅢ ᆼ ᄋ ᅴ
희망	ᄒ ᅵ ᄆ ᅡ ᆼ
종	ᄌ ᅩ ᆼ
벌까요	ᄇ ᅥ ᆯ ᄁ ᅡ ᄋ ᅭ
광고입니다	ᄀ ᅪ ᆼ ᄀ ᅩ ᄋ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
콘텐츠를	ᄏ ᅩ ᆫ ᄐ ᅦ ᆫ ᄎ ᅳ ᄅ ᅳ ᆯ
접속할수록	ᄌ ᅥ ᆸ ᄊ ᅩ ᄏ ᅡ ᆯ ᄊ ᅮ ᄅ ᅩ ᆨ
영상에	ᄋ ᅧ ᆼ ᄉ ᅡ ᆼ ᄋ ᅦ
볼수록	ᄇ ᅩ ᆯ ᄊ ᅮ ᄅ ᅩ ᆨ
튜버는	ᄐ ᅲ ᄇ ᅥ ᄂ ᅳ ᆫ
벌어들입니다	ᄇ ᅥ ᄅ ᅥ ᄃ ᅳ ᄅ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
줄까요	ᄌ ᅮ ᆯ ᄁ ᅡ ᄋ ᅭ
유튜브가	ᄋ ᅲ ᄐ ᅲ ᄇ ᅳ ᄀ ᅡ
지급합니다	ᄌ ᅵ ᄀ ᅳ ᄑ ᅡ ᆷ ᄂ ᅵ ᄃ ᅡ
유튜브는	ᄋ ᅲ ᄐ ᅲ ᄇ ᅳ ᄂ ᅳ ᆫ
거둬서	ᄀ ᅥ ᄃ ᅯ ᄉ ᅥ
튜버들에게	ᄐ ᅲ ᄇ ᅥ ᄃ ᅳ ᄅ ᅦ ᄀ ᅦ
삼성	ᄉ ᅡ ᆷ ᄉ ᅥ ᆼ
자사	ᄌ ᅡ ᄉ ᅡ
올리죠	ᄋ ᅩ ᆯ ᄅ ᅵ ᄌ ᅭ
의뢰하는	ᄋ ᅴ ᄅ ᅬ ᄒ ᅡ ᄂ ᅳ ᆫ
주체를	ᄌ ᅮ ᄎ ᅦ ᄅ ᅳ ᆯ
광고주라고	ᄀ ᅪ ᆼ ᄀ ᅩ ᄌ ᅮ ᄅ ᅡ ᄀ ᅩ
실을	ᄉ ᅵ ᄅ ᅳ ᆯ
매체죠	ᄆ ᅢ ᄎ ᅦ ᄌ ᅭ
광고주의	ᄀ ᅪ ᆼ ᄀ ᅩ ᄌ ᅮ ᄋ ᅴ
의뢰를	ᄋ ᅴ ᄅ ᅬ ᄅ ᅳ ᆯ
광고매체로	ᄀ ᅪ ᆼ ᄀ ᅩ ᄆ ᅢ ᄎ ᅦ ᄅ ᅩ
내보내고	ᄂ ᅢ ᄇ ᅩ ᄂ ᅢ ᄀ ᅩ
받아요	ᄇ ᅡ ᄃ ᅡ ᄋ ᅭ
튜브의	ᄐ ᅲ ᄇ ᅳ ᄋ ᅴ
수익이며	ᄉ ᅮ ᄋ ᅵ ᄀ ᅵ ᄆ ᅧ
지급하는	ᄌ ᅵ ᄀ ᅳ ᄑ ᅡ ᄂ ᅳ ᆫ
생각해보기	ᄉ ᅢ ᆼ ᄀ ᅡ ᄏ ᅢ ᄇ ᅩ ᄀ ᅵ
봅시다	ᄇ ᅩ ᆸ ᄊ ᅵ ᄃ ᅡ
보세요라는	ᄇ ᅩ ᄉ ᅦ ᄋ ᅭ ᄅ ᅡ ᄂ ᅳ ᆫ
튜브에	ᄐ ᅲ ᄇ ᅳ ᄋ ᅦ
광고주가	ᄀ ᅪ ᆼ ᄀ ᅩ ᄌ ᅮ ᄀ ᅡ
부족해서	ᄇ ᅮ ᄌ ᅩ ᄏ ᅢ ᄉ ᅥ
걸까요	ᄀ ᅥ ᆯ ᄁ ᅡ ᄋ ᅭ
큰일입니다	ᄏ ᅳ ᄂ ᅵ ᄅ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
경영난이	ᄀ ᅧ ᆼ ᄋ ᅧ ᆼ ᄂ ᅡ ᄂ ᅵ
심해지고	ᄉ ᅵ ᆷ ᄒ ᅢ ᄌ ᅵ ᄀ ᅩ
닫을	ᄃ ᅡ ᄃ ᅳ ᆯ
전성기를	ᄌ ᅥ ᆫ ᄉ ᅥ ᆼ ᄀ ᅵ ᄅ ᅳ ᆯ
대기업에서	ᄃ ᅢ ᄀ ᅵ ᄋ ᅥ ᄇ ᅦ ᄉ ᅥ
소기업으로	ᄉ ᅩ ᄀ ᅵ ᄋ ᅥ ᄇ ᅳ ᄅ ᅩ
관점을	ᄀ ᅪ ᆫ ᄌ ᅥ ᄆ ᅳ ᆯ
바꿔서	ᄇ ᅡ ᄁ ᅯ ᄉ ᅥ
장에서	ᄌ ᅡ ᆼ ᄋ ᅦ ᄉ ᅥ
볼까요	ᄇ ᅩ ᆯ ᄁ ᅡ ᄋ ᅭ
시청자가	ᄉ ᅵ ᄎ ᅥ ᆼ ᄌ ᅡ ᄀ ᅡ
수익이	ᄉ ᅮ ᄋ ᅵ ᄀ ᅵ
늘어나요	ᄂ ᅳ ᄅ ᅥ ᄂ ᅡ ᄋ ᅭ
유튜브도	ᄋ ᅲ ᄐ ᅲ ᄇ ᅳ ᄃ ᅩ
매체라는	ᄆ ᅢ ᄎ ᅦ ᄅ ᅡ ᄂ ᅳ ᆫ
도구를	ᄃ ᅩ ᄀ ᅮ ᄅ ᅳ ᆯ
문제점이	ᄆ ᅮ ᆫ ᄌ ᅦ ᄌ ᅥ ᄆ ᅵ
큰손이지만	ᄏ ᅳ ᆫ ᄉ ᅩ ᄂ ᅵ ᄌ ᅵ ᄆ ᅡ ᆫ
제한돼	ᄌ ᅦ ᄒ ᅡ ᆫ ᄃ ᅫ
포털	ᄑ ᅩ ᄐ ᅥ ᆯ
사이	ᄉ ᅡ ᄋ ᅵ
국의	ᄀ ᅮ ᄀ ᅴ
광고매체의	ᄀ ᅪ ᆼ ᄀ ᅩ ᄆ ᅢ ᄎ ᅦ ᄋ ᅴ
경쟁도	ᄀ ᅧ ᆼ ᄌ ᅢ ᆼ ᄃ ᅩ
치열해요	ᄎ ᅵ ᄋ ᅧ ᆯ ᄒ ᅢ ᄋ ᅭ
대기업들은	ᄃ ᅢ ᄀ ᅵ ᄋ ᅥ ᆸ ᄄ ᅳ ᄅ ᅳ ᆫ
고객이고	ᄀ ᅩ ᄀ ᅢ ᄀ ᅵ ᄀ ᅩ
찾습니다	ᄎ ᅡ ᆮ ᄊ ᅳ ᆷ ᄂ ᅵ ᄃ ᅡ
결론	ᄀ ᅧ ᆯ ᄅ ᅩ ᆫ
광고주를	ᄀ ᅪ ᆼ ᄀ ᅩ ᄌ ᅮ ᄅ ᅳ ᆯ
찾	ᄎ ᅡ ᆮ
것이에요	ᄀ ᅥ ᄉ ᅵ ᄋ ᅦ ᄋ ᅭ
탄생한	ᄐ ᅡ ᆫ ᄉ ᅢ ᆼ ᄒ ᅡ ᆫ
튜브에서	ᄐ ᅲ ᄇ ᅳ ᄋ ᅦ ᄉ ᅥ
미세먼지와	ᄆ ᅵ ᄉ ᅦ ᄆ ᅥ ᆫ ᄌ ᅵ ᄋ ᅪ
일상이	ᄋ ᅵ ᆯ ᄉ ᅡ ᆼ ᄋ ᅵ
되어가고	ᄃ ᅬ ᄋ ᅥ ᄀ ᅡ ᄀ ᅩ
미세먼지	ᄆ ᅵ ᄉ ᅦ ᄆ ᅥ ᆫ ᄌ ᅵ
미세먼지라는	ᄆ ᅵ ᄉ ᅦ ᄆ ᅥ ᆫ ᄌ ᅵ ᄅ ᅡ ᄂ ᅳ ᆫ
자극에	ᄌ ᅡ ᄀ ᅳ ᄀ ᅦ
적응하기	ᄌ ᅥ ᄀ ᅳ ᆼ ᄒ ᅡ ᄀ ᅵ
변화하고	ᄇ ᅧ ᆫ ᄒ ᅪ ᄒ ᅡ ᄀ ᅩ
반응하고	ᄇ ᅡ ᄂ ᅳ ᆼ ᄒ ᅡ ᄀ ᅩ
미세먼지에	ᄆ ᅵ ᄉ ᅦ ᄆ ᅥ ᆫ ᄌ ᅵ ᄋ ᅦ
받은	ᄇ ᅡ ᄃ ᅳ ᆫ
특한	ᄐ ᅳ ᄏ ᅡ ᆫ
신제	ᄉ ᅵ ᆫ ᄌ ᅦ
품과	ᄑ ᅮ ᆷ ᄀ ᅪ
만나보겠습니다	ᄆ ᅡ ᆫ ᄂ ᅡ ᄇ ᅩ ᄀ ᅦ ᆮ ᄊ ᅳ ᆷ ᄂ ᅵ ᄃ ᅡ
필수품인	ᄑ ᅵ ᆯ ᄉ ᅮ ᄑ ᅮ ᄆ ᅵ ᆫ
방진	ᄇ ᅡ ᆼ ᄌ ᅵ ᆫ
마스크	ᄆ ᅡ ᄉ ᅳ ᄏ ᅳ
불편해요	ᄇ ᅮ ᆯ ᄑ ᅧ ᆫ ᄒ ᅢ ᄋ ᅭ
등장한	ᄃ ᅳ ᆼ ᄌ ᅡ ᆼ ᄒ ᅡ ᆫ
신제품	ᄉ ᅵ ᆫ ᄌ ᅦ ᄑ ᅮ ᆷ
콧속에	ᄏ ᅩ ᆮ ᄊ ᅩ ᄀ ᅦ
필	ᄑ ᅵ ᆯ
마스크가	ᄆ ᅡ ᄉ ᅳ ᄏ ᅳ ᄀ ᅡ
숨	ᄉ ᅮ ᆷ
쉴	ᄉ ᅱ ᆯ
안경이	ᄋ ᅡ ᆫ ᄀ ᅧ ᆼ ᄋ ᅵ
뿌예지는	ᄈ ᅮ ᄋ ᅨ ᄌ ᅵ ᄂ ᅳ ᆫ
안경	ᄋ ᅡ ᆫ ᄀ ᅧ ᆼ
사용자	ᄉ ᅡ ᄋ ᅭ ᆼ ᄌ ᅡ
실내에서	ᄉ ᅵ ᆯ ᄅ ᅢ ᄋ ᅦ ᄉ ᅥ
마스	ᄆ ᅡ ᄉ ᅳ
크를	ᄏ ᅳ ᄅ ᅳ ᆯ
사회인들에게	ᄉ ᅡ ᄒ ᅬ ᄋ ᅵ ᆫ ᄃ ᅳ ᄅ ᅦ ᄀ ᅦ
인기를	ᄋ ᅵ ᆫ ᄀ ᅵ ᄅ ᅳ ᆯ
끌고	ᄁ ᅳ ᆯ ᄀ ᅩ
상품도	ᄉ ᅡ ᆼ ᄑ ᅮ ᆷ ᄃ ᅩ
반려동물을	ᄇ ᅡ ᆯ ᄅ ᅧ ᄃ ᅩ ᆼ ᄆ ᅮ ᄅ ᅳ ᆯ
애완동물	ᄋ ᅢ ᄋ ᅪ ᆫ ᄃ ᅩ ᆼ ᄆ ᅮ ᆯ
크는	ᄏ ᅳ ᄂ ᅳ ᆫ
공기청정기의	ᄀ ᅩ ᆼ ᄀ ᅵ ᄎ ᅥ ᆼ ᄌ ᅥ ᆼ ᄀ ᅵ ᄋ ᅴ
필터	ᄑ ᅵ ᆯ ᄐ ᅥ
기능만	ᄀ ᅵ ᄂ ᅳ ᆼ ᄆ ᅡ ᆫ
남겨둔	ᄂ ᅡ ᆷ ᄀ ᅧ ᄃ ᅮ ᆫ
간단	ᄀ ᅡ ᆫ ᄃ ᅡ ᆫ
청정기도	ᄎ ᅥ ᆼ ᄌ ᅥ ᆼ ᄀ ᅵ ᄃ ᅩ
먼지는	ᄆ ᅥ ᆫ ᄌ ᅵ ᄂ ᅳ ᆫ
거르냐고요	ᄀ ᅥ ᄅ ᅳ ᄂ ᅣ ᄀ ᅩ ᄋ ᅭ
품은	ᄑ ᅮ ᄆ ᅳ ᆫ
선풍기에	ᄉ ᅥ ᆫ ᄑ ᅮ ᆼ ᄀ ᅵ ᄋ ᅦ
설치해서	ᄉ ᅥ ᆯ ᄎ ᅵ ᄒ ᅢ ᄉ ᅥ
사용해요	ᄉ ᅡ ᄋ ᅭ ᆼ ᄒ ᅢ ᄋ ᅭ
없으니	ᄋ ᅥ ᆸ ᄊ ᅳ ᄂ ᅵ
선풍기를	ᄉ ᅥ ᆫ ᄑ ᅮ ᆼ ᄀ ᅵ ᄅ ᅳ ᆯ
활용할	ᄒ ᅪ ᄅ ᅭ ᆼ ᄒ ᅡ ᆯ
뜰	ᄄ ᅳ ᆯ
인기래요	ᄋ ᅵ ᆫ ᄀ ᅵ ᄅ ᅢ ᄋ ᅭ
효력이	ᄒ ᅭ ᄅ ᅧ ᄀ ᅵ
사기	ᄉ ᅡ ᄀ ᅵ
주의가	ᄌ ᅮ ᄋ ᅴ ᄀ ᅡ
필요해요	ᄑ ᅵ ᄅ ᅭ ᄒ ᅢ ᄋ ᅭ
중인	ᄌ ᅮ ᆼ ᄋ ᅵ ᆫ
차단	ᄎ ᅡ ᄃ ᅡ ᆫ
세정	ᄉ ᅦ ᄌ ᅥ ᆼ
화장품	ᄒ ᅪ ᄌ ᅡ ᆼ ᄑ ᅮ ᆷ
가량이	ᄀ ᅡ ᄅ ᅣ ᆼ ᄋ ᅵ
실제로는	ᄉ ᅵ ᆯ ᄌ ᅦ ᄅ ᅩ ᄂ ᅳ ᆫ
효력	ᄒ ᅭ ᄅ ᅧ ᆨ
없음	ᄋ ᅥ ᆸ ᄊ ᅳ ᆷ
작년	ᄌ ᅡ ᆼ ᄂ ᅧ ᆫ
십일월의	ᄉ ᅵ ᄇ ᅵ ᄅ ᅯ ᄅ ᅴ
일이니까요	ᄋ ᅵ ᄅ ᅵ ᄂ ᅵ ᄁ ᅡ ᄋ ᅭ
제품도	ᄌ ᅦ ᄑ ᅮ ᆷ ᄃ ᅩ
섞	ᄉ ᅥ ᆨ
나오고	ᄂ ᅡ ᄋ ᅩ ᄀ ᅩ
실내로	ᄉ ᅵ ᆯ ᄅ ᅢ ᄅ ᅩ
들어가자	ᄃ ᅳ ᄅ ᅥ ᄀ ᅡ ᄌ ᅡ
보내는	ᄇ ᅩ ᄂ ᅢ ᄂ ᅳ ᆫ
쇼핑가는	ᄉ ᅭ ᄑ ᅵ ᆼ ᄀ ᅡ ᄂ ᅳ ᆫ
한산해졌	ᄒ ᅡ ᆫ ᄉ ᅡ ᆫ ᄒ ᅢ ᄌ ᅥ ᆮ
복합	ᄇ ᅩ ᄏ ᅡ ᆸ
쇼핑몰이나	ᄉ ᅭ ᄑ ᅵ ᆼ ᄆ ᅩ ᄅ ᅵ ᄂ ᅡ
영화관	ᄋ ᅧ ᆼ ᄒ ᅪ ᄀ ᅪ ᆫ
고객은	ᄀ ᅩ ᄀ ᅢ ᄀ ᅳ ᆫ
늘어났어요	ᄂ ᅳ ᄅ ᅥ ᄂ ᅡ ᄊ ᅥ ᄋ ᅭ
운동기구	ᄋ ᅮ ᆫ ᄃ ᅩ ᆼ ᄀ ᅵ ᄀ ᅮ
레토르트	ᄅ ᅦ ᄐ ᅩ ᄅ ᅳ ᄐ ᅳ
배달음식	ᄇ ᅢ ᄃ ᅡ ᄅ ᅳ ᆷ ᄉ ᅵ ᆨ
홈족을	ᄒ ᅩ ᆷ ᄌ ᅩ ᄀ ᅳ ᆯ
수요	ᄉ ᅮ ᄋ ᅭ
증가에는	ᄌ ᅳ ᆼ ᄀ ᅡ ᄋ ᅦ ᄂ ᅳ ᆫ
몫	ᄆ ᅩ ᆨ
거들었	ᄀ ᅥ ᄃ ᅳ ᄅ ᅥ ᆮ
교실	ᄀ ᅭ ᄉ ᅵ ᆯ
청정기	ᄎ ᅥ ᆼ ᄌ ᅥ ᆼ ᄀ ᅵ
설치가	ᄉ ᅥ ᆯ ᄎ ᅵ ᄀ ᅡ
의무화됐	ᄋ ᅴ ᄆ ᅮ ᄒ ᅪ ᄃ ᅫ ᆮ
공부와	ᄀ ᅩ ᆼ ᄇ ᅮ ᄋ ᅪ
체육활	ᄎ ᅦ ᄋ ᅲ ᄏ ᅪ ᆯ
진행하는	ᄌ ᅵ ᆫ ᄒ ᅢ ᆼ ᄒ ᅡ ᄂ ᅳ ᆫ
비중이	ᄇ ᅵ ᄌ ᅮ ᆼ ᄋ ᅵ
늘었어요	ᄂ ᅳ ᄅ ᅥ ᄊ ᅥ ᄋ ᅭ
수요는	ᄉ ᅮ ᄋ ᅭ ᄂ ᅳ ᆫ
보여요	ᄇ ᅩ ᄋ ᅧ ᄋ ᅭ
제조업체들의	ᄌ ᅦ ᄌ ᅩ ᄋ ᅥ ᆸ ᄎ ᅦ ᄃ ᅳ ᄅ ᅴ
치열해질	ᄎ ᅵ ᄋ ᅧ ᆯ ᄒ ᅢ ᄌ ᅵ ᆯ
가축	ᄀ ᅡ ᄎ ᅮ ᆨ
경고	ᄀ ᅧ ᆼ ᄀ ᅩ
기름진	ᄀ ᅵ ᄅ ᅳ ᆷ ᄌ ᅵ ᆫ
부드러운	ᄇ ᅮ ᄃ ᅳ ᄅ ᅥ ᄋ ᅮ ᆫ
한우	ᄒ ᅡ ᄂ ᅮ
살코기	ᄉ ᅡ ᆯ ᄏ ᅩ ᄀ ᅵ
든든한	ᄃ ᅳ ᆫ ᄃ ᅳ ᆫ ᄒ ᅡ ᆫ
갈비	ᄀ ᅡ ᆯ ᄇ ᅵ
고기는	ᄀ ᅩ ᄀ ᅵ ᄂ ᅳ ᆫ
거리죠	ᄀ ᅥ ᄅ ᅵ ᄌ ᅭ
찌는	ᄍ ᅵ ᄂ ᅳ ᆫ
걱	ᄀ ᅥ ᆨ
정이지만	ᄌ ᅥ ᆼ ᄋ ᅵ ᄌ ᅵ ᄆ ᅡ ᆫ
가축을	ᄀ ᅡ ᄎ ᅮ ᄀ ᅳ ᆯ
위협하는	ᄋ ᅱ ᄒ ᅧ ᄑ ᅡ ᄂ ᅳ ᆫ
전염병이	ᄌ ᅥ ᄂ ᅧ ᆷ ᄇ ᅧ ᆼ ᄋ ᅵ
농민들의	ᄂ ᅩ ᆼ ᄆ ᅵ ᆫ ᄃ ᅳ ᄅ ᅴ
가슴을	ᄀ ᅡ ᄉ ᅳ ᄆ ᅳ ᆯ
고기에	ᄀ ᅩ ᄀ ᅵ ᄋ ᅦ
애타게	ᄋ ᅢ ᄐ ᅡ ᄀ ᅦ
맛있지	ᄆ ᅡ ᄉ ᅵ ᆮ ᄍ ᅵ
이야기입니다	ᄋ ᅵ ᄋ ᅣ ᄀ ᅵ ᄋ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
